,Time (s),Sigma_1 (Pa),Sigma_3 (Pa),Epsilon_1 (-),Epsilon_3 (-),D_0 (m),H_0 (m),Mass (kg)
0,0,5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
1,"1032,72727272727","6885151,51515152",5000000,"0,000134733824733825","0,000074103276003276","0,0429090473891294","0,0941629564523621","0,363089090115333"
2,"2065,45454545455",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
3,"3098,18181818182",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
4,"4130,90909090909",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
5,"5163,63636363636",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
6,"6196,36363636364",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
7,"7229,09090909091",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
8,"8261,81818181818",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
9,"9294,54545454545",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
10,"10327,2727272727",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
11,11360,8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
12,"12392,7272727273",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
13,"13425,4545454546",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
14,"14458,1818181818",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
15,"15490,9090909091",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
16,"16523,6363636364",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
17,"17556,3636363636",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
18,"18589,0909090909",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
19,"19621,8181818182",8100000,5000000,"0,000167567567567568","0,0000678648648648649","0,0429090473891294","0,0941629564523621","0,363089090115333"
20,"20654,5454545455","6746969,6969697",5000000,"0,000130999180999181","0,0000748128583128583","0,0429090473891294","0,0941629564523621","0,363089090115333"
21,"21687,2727272727",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
22,22720,5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
23,"23752,7272727273",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
24,"24785,4545454545",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
25,"25818,1818181818",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
26,"26850,9090909091",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
27,"27883,6363636364",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
28,"28916,3636363636",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
29,"29949,0909090909",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
30,"30981,8181818182",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
31,"32014,5454545455",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
32,"33047,2727272727",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
33,34080,5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
34,"35112,7272727273",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
35,"36145,4545454545",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
36,"37178,1818181818",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
37,"38210,9090909091",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
38,"39243,6363636364",5250000,5000000,"0,0000905405405405405","0,0000825","0,0429090473891294","0,0941629564523621","0,363089090115333"
39,"40276,3636363636","6551731,60173161",5000000,"0,000125722475722476","0,0000758154323154323","0,0429090473891294","0,0941629564523621","0,363089090115333"
40,"41309,0909090909","8539321,7893218",5000000,"0,00017944112944113","0,0000656088881088881","0,0429090473891294","0,0941629564523621","0,363089090115333"
41,"42341,8181818182",10100000,5000000,"0,000221621621621622","0,0000575945945945946","0,0429090473891294","0,0941629564523621","0,363089090115333"
42,"43374,5454545455",10100000,5000000,"0,000221621621621622","0,0000575945945945946","0,0429090473891294","0,0941629564523621","0,363089090115333"
43,"44407,2727272727",10100000,5000000,"0,000221621621621622","0,0000575945945945946","0,0429090473891294","0,0941629564523621","0,363089090115333"
44,45440,10100000,5000000,"0,000221621621621622","0,0000575945945945946","0,0429090473891294","0,0941629564523621","0,363089090115333"
45,"46472,7272727273",10100000,5000000,"0,000221621621621622","0,0000575945945945946","0,0429090473891294","0,0941629564523621","0,363089090115333"
