
+===============================================================================================+
|   ____    _    _____ _____   ___ _   _    ____    ___     _______         ____    ___   ___   |
|  / ___|  / \  |  ___| ____| |_ _| \ | |  / ___|  / \ \   / / ____| __   _|___ \  / _ \ / _ \  |
|  \___ \ / _ \ | |_  |  _|    | ||  \| | | |     / _ \ \ / /|  _|   \ \ / / __) || | | | | | | |
|   ___) / ___ \|  _| | |___   | || |\  | | |___ / ___ \ V / | |___   \ V / / __/ | |_| | |_| | |
|  |____/_/   \_\_|   |_____| |___|_| \_|  \____/_/   \_\_/  |_____|   \_/ |_____(_)___(_)___/  |
|                                                                                               |
+===============================================================================================+
|                                                                                               |
| Mesh info:                                                                                    |
+---------------+------------+------------------------------------------+-----------------------+
| # of elements | # of nodes | Location                                 |                       |
+---------------+------------+------------------------------------------+-----------------------+
| 32839         | 7474       | ../../../../grids/cavern_regular_1200_3D |                       |
+---------------+------------+------------------------------------------+-----------------------+
|                                                                                               |
| Partition(s) info:                                                                            |
+-------------+---------------+------------+----------------------------------------------------+
| Partition # | # of elements | # of nodes |                                                    |
+-------------+---------------+------------+----------------------------------------------------+
|      1      |     32839     |    7474    |                                                    |
+-------------+---------------+------------+----------------------------------------------------+
|                                                                                               |
| Solver info:                                                                                  |
+----------+---------+----------+--------+------------------------------------------------------+
| KSP_type | PC_type |   rtol   | max_it |                                                      |
+----------+---------+----------+--------+------------------------------------------------------+
|    cg    |   asm   | 1.0e-10  |  100   |                                                      |
+----------+---------+----------+--------+------------------------------------------------------+
|                                                                                               |
| Constitutive model:                                                                           |
+---------------+--------------------------------------------------+----------------------------+
| Element type  | List of elements                                 |                            |
+---------------+--------------------------------------------------+----------------------------+
| elastic       | spring                                           |                            |
| non-elastic   | kelvin, creep_dislocation, creep_pressure, desai |                            |
| thermoelastic |                                                  |                            |
+---------------+--------------------------------------------------+----------------------------+
|                                                                                               |
| Output info:                                                                                  |
+--------------------+------------------+-------------------------+-----------------------------+
| Location           | Field name       | Label name              |                             |
+--------------------+------------------+-------------------------+-----------------------------+
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | u                | Displacement (m)       |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | eps_tot          | Total strain (-)       |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | eps_vp           | Viscoplastic strain (-)|
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | alpha            | Hardening parameter (-)|
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | Fvp              | Yield function (-)     |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | p_elems          | Mean stress (Pa)       |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | q_elems          | Von Mises stress (Pa)  |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | sig              | Stress (Pa)            |
+--------------------+------------------+-------------------------+-----------------------------+
|                                                                                               |
+--------------+-----------+--------------------+------------+------------------+---------------+
| Step counter | dt (hour) | t / t_final (hour) | # of iters | Non-linear error |               |
|     800      |   2.000   | 1600.000 / 9480.0  |     4      |    2.2714e-12    |               |
|     801      |   2.000   | 1602.000 / 9480.0  |     4      |    4.5004e-12    |               |
|     802      |   2.000   | 1604.000 / 9480.0  |     4      |    2.4812e-12    |               |
|     803      |   2.000   | 1606.000 / 9480.0  |     4      |    4.7914e-12    |               |
|     804      |   2.000   | 1608.000 / 9480.0  |     4      |    2.7073e-12    |               |
|     805      |   2.000   | 1610.000 / 9480.0  |     4      |    5.1426e-12    |               |
|     806      |   2.000   | 1612.000 / 9480.0  |     4      |    2.9524e-12    |               |
|     807      |   2.000   | 1614.000 / 9480.0  |     4      |    5.4486e-12    |               |
|     808      |   2.000   | 1616.000 / 9480.0  |     4      |    3.1981e-12    |               |
|     809      |   2.000   | 1618.000 / 9480.0  |     4      |    5.8532e-12    |               |
|     810      |   2.000   | 1620.000 / 9480.0  |     4      |    3.7697e-12    |               |
|     811      |   2.000   | 1622.000 / 9480.0  |     4      |    5.5438e-12    |               |
|     812      |   2.000   | 1624.000 / 9480.0  |     4      |    4.0693e-12    |               |
|     813      |   2.000   | 1626.000 / 9480.0  |     4      |    6.1665e-12    |               |
|     814      |   2.000   | 1628.000 / 9480.0  |     4      |    4.1044e-12    |               |
|     815      |   2.000   | 1630.000 / 9480.0  |     4      |    6.3124e-12    |               |
|     816      |   2.000   | 1632.000 / 9480.0  |     4      |    5.9164e-12    |               |
|     817      |   2.000   | 1634.000 / 9480.0  |     4      |    5.5289e-12    |               |
|     818      |   2.000   | 1636.000 / 9480.0  |     4      |    5.3343e-12    |               |
|     819      |   2.000   | 1638.000 / 9480.0  |     4      |    5.4781e-12    |               |
|     820      |   2.000   | 1640.000 / 9480.0  |     4      |    5.2646e-12    |               |
|     821      |   2.000   | 1642.000 / 9480.0  |     4      |    5.7747e-12    |               |
|     822      |   2.000   | 1644.000 / 9480.0  |     4      |    5.3932e-12    |               |
|     823      |   2.000   | 1646.000 / 9480.0  |     4      |    5.7927e-12    |               |
|     824      |   2.000   | 1648.000 / 9480.0  |     4      |    4.9674e-12    |               |
|     825      |   2.000   | 1650.000 / 9480.0  |     4      |    7.6144e-12    |               |
|     826      |   2.000   | 1652.000 / 9480.0  |     4      |    5.2966e-12    |               |
|     827      |   2.000   | 1654.000 / 9480.0  |     4      |    8.2957e-12    |               |
|     828      |   2.000   | 1656.000 / 9480.0  |     4      |    5.5391e-12    |               |
|     829      |   2.000   | 1658.000 / 9480.0  |     4      |    9.0392e-12    |               |
|     830      |   2.000   | 1660.000 / 9480.0  |     4      |    5.9319e-12    |               |
|     831      |   2.000   | 1662.000 / 9480.0  |     4      |    9.7000e-12    |               |
|     832      |   2.000   | 1664.000 / 9480.0  |     4      |    6.3792e-12    |               |
|     833      |   2.000   | 1666.000 / 9480.0  |     4      |    1.0438e-11    |               |
|     834      |   2.000   | 1668.000 / 9480.0  |     4      |    6.9165e-12    |               |
|     835      |   2.000   | 1670.000 / 9480.0  |     4      |    1.1139e-11    |               |
|     836      |   2.000   | 1672.000 / 9480.0  |     4      |    7.4564e-12    |               |
|     837      |   2.000   | 1674.000 / 9480.0  |     4      |    1.1641e-11    |               |
|     838      |   2.000   | 1676.000 / 9480.0  |     4      |    8.1640e-12    |               |
|     839      |   2.000   | 1678.000 / 9480.0  |     4      |    1.2232e-11    |               |
|     840      |   2.000   | 1680.000 / 9480.0  |     4      |    8.7317e-12    |               |
|     841      |   2.000   | 1682.000 / 9480.0  |     4      |    1.3022e-11    |               |
|     842      |   2.000   | 1684.000 / 9480.0  |     4      |    9.3344e-12    |               |
|     843      |   2.000   | 1686.000 / 9480.0  |     4      |    1.3937e-11    |               |
|     844      |   2.000   | 1688.000 / 9480.0  |     4      |    9.9483e-12    |               |
|     845      |   2.000   | 1690.000 / 9480.0  |     4      |    1.3615e-11    |               |
|     846      |   2.000   | 1692.000 / 9480.0  |     4      |    1.3610e-11    |               |
|     847      |   2.000   | 1694.000 / 9480.0  |     4      |    1.3093e-11    |               |
|     848      |   2.000   | 1696.000 / 9480.0  |     4      |    1.4022e-11    |               |
|     849      |   2.000   | 1698.000 / 9480.0  |     4      |    1.6906e-11    |               |
|     850      |   2.000   | 1700.000 / 9480.0  |     4      |    1.2717e-11    |               |
|     851      |   2.000   | 1702.000 / 9480.0  |     4      |    1.8389e-11    |               |
|     852      |   2.000   | 1704.000 / 9480.0  |     4      |    1.3690e-11    |               |
|     853      |   2.000   | 1706.000 / 9480.0  |     4      |    2.0328e-11    |               |
|     854      |   2.000   | 1708.000 / 9480.0  |     4      |    1.4715e-11    |               |
|     855      |   2.000   | 1710.000 / 9480.0  |     4      |    2.2121e-11    |               |
|     856      |   2.000   | 1712.000 / 9480.0  |     4      |    1.5645e-11    |               |
|     857      |   2.000   | 1714.000 / 9480.0  |     4      |    2.4490e-11    |               |
|     858      |   2.000   | 1716.000 / 9480.0  |     4      |    1.6751e-11    |               |
|     859      |   2.000   | 1718.000 / 9480.0  |     4      |    2.3105e-11    |               |
|     860      |   2.000   | 1720.000 / 9480.0  |     4      |    1.5325e-11    |               |
|     861      |   2.000   | 1722.000 / 9480.0  |     4      |    2.5416e-11    |               |
|     862      |   2.000   | 1724.000 / 9480.0  |     4      |    1.6570e-11    |               |
|     863      |   2.000   | 1726.000 / 9480.0  |     4      |    2.8091e-11    |               |
|     864      |   2.000   | 1728.000 / 9480.0  |     4      |    1.7969e-11    |               |
|     865      |   2.000   | 1730.000 / 9480.0  |     4      |    3.0418e-11    |               |
|     866      |   2.000   | 1732.000 / 9480.0  |     4      |    1.9828e-11    |               |
|     867      |   2.000   | 1734.000 / 9480.0  |     4      |    3.2960e-11    |               |
|     868      |   2.000   | 1736.000 / 9480.0  |     4      |    2.1734e-11    |               |
|     869      |   2.000   | 1738.000 / 9480.0  |     4      |    3.6115e-11    |               |
|     870      |   2.000   | 1740.000 / 9480.0  |     4      |    2.3746e-11    |               |
|     871      |   2.000   | 1742.000 / 9480.0  |     4      |    3.9572e-11    |               |
|     872      |   2.000   | 1744.000 / 9480.0  |     4      |    2.6314e-11    |               |
|     873      |   2.000   | 1746.000 / 9480.0  |     4      |    4.3753e-11    |               |
|     874      |   2.000   | 1748.000 / 9480.0  |     4      |    2.9622e-11    |               |
|     875      |   2.000   | 1750.000 / 9480.0  |     4      |    5.8787e-11    |               |
|     876      |   2.000   | 1752.000 / 9480.0  |     4      |    3.5659e-11    |               |
|     877      |   2.000   | 1754.000 / 9480.0  |     4      |    7.7387e-11    |               |
|     878      |   2.000   | 1756.000 / 9480.0  |     4      |    4.5990e-11    |               |
|     879      |   2.000   | 1758.000 / 9480.0  |     4      |    9.6833e-11    |               |
|     880      |   2.000   | 1760.000 / 9480.0  |     4      |    5.9612e-11    |               |
|     881      |   2.000   | 1762.000 / 9480.0  |     4      |    1.0788e-10    |               |
|     882      |   2.000   | 1764.000 / 9480.0  |     4      |    6.5524e-11    |               |
|     883      |   2.000   | 1766.000 / 9480.0  |     4      |    9.2251e-11    |               |
|     884      |   2.000   | 1768.000 / 9480.0  |     4      |    6.7343e-11    |               |
|     885      |   2.000   | 1770.000 / 9480.0  |     4      |    1.0371e-10    |               |
|     886      |   2.000   | 1772.000 / 9480.0  |     4      |    7.9988e-11    |               |
|     887      |   2.000   | 1774.000 / 9480.0  |     4      |    9.5802e-11    |               |
|     888      |   2.000   | 1776.000 / 9480.0  |     4      |    7.5882e-11    |               |
|     889      |   2.000   | 1778.000 / 9480.0  |     4      |    6.5777e-11    |               |
|     890      |   2.000   | 1780.000 / 9480.0  |     4      |    5.9913e-11    |               |
|     891      |   2.000   | 1782.000 / 9480.0  |     4      |    4.7390e-11    |               |
|     892      |   2.000   | 1784.000 / 9480.0  |     4      |    4.8551e-11    |               |
|     893      |   2.000   | 1786.000 / 9480.0  |     4      |    3.6937e-11    |               |
|     894      |   2.000   | 1788.000 / 9480.0  |     4      |    4.0955e-11    |               |
|     895      |   2.000   | 1790.000 / 9480.0  |     4      |    2.9963e-11    |               |
|     896      |   2.000   | 1792.000 / 9480.0  |     4      |    3.6081e-11    |               |
|     897      |   2.000   | 1794.000 / 9480.0  |     4      |    2.7430e-11    |               |
|     898      |   2.000   | 1796.000 / 9480.0  |     4      |    3.3133e-11    |               |
|     899      |   2.000   | 1798.000 / 9480.0  |     4      |    2.3806e-11    |               |
|     900      |   2.000   | 1800.000 / 9480.0  |     4      |    3.0481e-11    |               |
|     901      |   2.000   | 1802.000 / 9480.0  |     4      |    2.1940e-11    |               |
|     902      |   2.000   | 1804.000 / 9480.0  |     4      |    2.8576e-11    |               |
|     903      |   2.000   | 1806.000 / 9480.0  |     4      |    2.0652e-11    |               |
|     904      |   2.000   | 1808.000 / 9480.0  |     4      |    2.6933e-11    |               |
|     905      |   2.000   | 1810.000 / 9480.0  |     4      |    1.9712e-11    |               |
|     906      |   2.000   | 1812.000 / 9480.0  |     4      |    2.5604e-11    |               |
|     907      |   2.000   | 1814.000 / 9480.0  |     4      |    1.8769e-11    |               |
|     908      |   2.000   | 1816.000 / 9480.0  |     4      |    2.4407e-11    |               |
|     909      |   2.000   | 1818.000 / 9480.0  |     4      |    1.7988e-11    |               |
|     910      |   2.000   | 1820.000 / 9480.0  |     4      |    2.3331e-11    |               |
|     911      |   2.000   | 1822.000 / 9480.0  |     4      |    1.7266e-11    |               |
|     912      |   2.000   | 1824.000 / 9480.0  |     4      |    2.2324e-11    |               |
|     913      |   2.000   | 1826.000 / 9480.0  |     4      |    1.6615e-11    |               |
|     914      |   2.000   | 1828.000 / 9480.0  |     4      |    2.1531e-11    |               |
|     915      |   2.000   | 1830.000 / 9480.0  |     4      |    1.6760e-11    |               |
|     916      |   2.000   | 1832.000 / 9480.0  |     4      |    2.1029e-11    |               |
|     917      |   2.000   | 1834.000 / 9480.0  |     4      |    1.7295e-11    |               |
|     918      |   2.000   | 1836.000 / 9480.0  |     4      |    2.1609e-11    |               |
|     919      |   2.000   | 1838.000 / 9480.0  |     4      |    1.6364e-11    |               |
|     920      |   2.000   | 1840.000 / 9480.0  |     4      |    2.0908e-11    |               |
|     921      |   2.000   | 1842.000 / 9480.0  |     4      |    1.5791e-11    |               |
|     922      |   2.000   | 1844.000 / 9480.0  |     4      |    2.0087e-11    |               |
|     923      |   2.000   | 1846.000 / 9480.0  |     4      |    1.5216e-11    |               |
|     924      |   2.000   | 1848.000 / 9480.0  |     4      |    1.9298e-11    |               |
|     925      |   2.000   | 1850.000 / 9480.0  |     4      |    1.4648e-11    |               |
|     926      |   2.000   | 1852.000 / 9480.0  |     4      |    1.8538e-11    |               |
|     927      |   2.000   | 1854.000 / 9480.0  |     4      |    1.4166e-11    |               |
|     928      |   2.000   | 1856.000 / 9480.0  |     4      |    1.7815e-11    |               |
|     929      |   2.000   | 1858.000 / 9480.0  |     4      |    1.3791e-11    |               |
|     930      |   2.000   | 1860.000 / 9480.0  |     4      |    1.7164e-11    |               |
|     931      |   2.000   | 1862.000 / 9480.0  |     4      |    1.3484e-11    |               |
|     932      |   2.000   | 1864.000 / 9480.0  |     4      |    1.6672e-11    |               |
|     933      |   2.000   | 1866.000 / 9480.0  |     4      |    1.3127e-11    |               |
|     934      |   2.000   | 1868.000 / 9480.0  |     4      |    1.6170e-11    |               |
|     935      |   2.000   | 1870.000 / 9480.0  |     4      |    1.2772e-11    |               |
|     936      |   2.000   | 1872.000 / 9480.0  |     4      |    1.5690e-11    |               |
|     937      |   2.000   | 1874.000 / 9480.0  |     4      |    1.2292e-11    |               |
|     938      |   2.000   | 1876.000 / 9480.0  |     4      |    1.5069e-11    |               |
|     939      |   2.000   | 1878.000 / 9480.0  |     4      |    1.1881e-11    |               |
|     940      |   2.000   | 1880.000 / 9480.0  |     4      |    1.4470e-11    |               |
|     941      |   2.000   | 1882.000 / 9480.0  |     4      |    1.1485e-11    |               |
|     942      |   2.000   | 1884.000 / 9480.0  |     4      |    1.3918e-11    |               |
|     943      |   2.000   | 1886.000 / 9480.0  |     4      |    1.1128e-11    |               |
|     944      |   2.000   | 1888.000 / 9480.0  |     4      |    1.3390e-11    |               |
|     945      |   2.000   | 1890.000 / 9480.0  |     4      |    1.0766e-11    |               |
|     946      |   2.000   | 1892.000 / 9480.0  |     4      |    1.2911e-11    |               |
|     947      |   2.000   | 1894.000 / 9480.0  |     4      |    1.0466e-11    |               |
|     948      |   2.000   | 1896.000 / 9480.0  |     4      |    1.2463e-11    |               |
|     949      |   2.000   | 1898.000 / 9480.0  |     4      |    1.0123e-11    |               |
|     950      |   2.000   | 1900.000 / 9480.0  |     4      |    1.1990e-11    |               |
|     951      |   2.000   | 1902.000 / 9480.0  |     4      |    9.7913e-12    |               |
|     952      |   2.000   | 1904.000 / 9480.0  |     4      |    1.1552e-11    |               |
|     953      |   2.000   | 1906.000 / 9480.0  |     4      |    9.5022e-12    |               |
|     954      |   2.000   | 1908.000 / 9480.0  |     4      |    1.1153e-11    |               |
|     955      |   2.000   | 1910.000 / 9480.0  |     4      |    9.2241e-12    |               |
|     956      |   2.000   | 1912.000 / 9480.0  |     4      |    1.0769e-11    |               |
|     957      |   2.000   | 1914.000 / 9480.0  |     4      |    8.9368e-12    |               |
|     958      |   2.000   | 1916.000 / 9480.0  |     4      |    1.0402e-11    |               |
|     959      |   2.000   | 1918.000 / 9480.0  |     4      |    8.7281e-12    |               |
|     960      |   2.000   | 1920.000 / 9480.0  |     4      |    1.0158e-11    |               |
|     961      |   2.000   | 1922.000 / 9480.0  |     4      |    8.8882e-12    |               |
|     962      |   2.000   | 1924.000 / 9480.0  |     4      |    1.0128e-11    |               |
|     963      |   2.000   | 1926.000 / 9480.0  |     4      |    9.0425e-12    |               |
|     964      |   2.000   | 1928.000 / 9480.0  |     4      |    1.0135e-11    |               |
|     965      |   2.000   | 1930.000 / 9480.0  |     4      |    8.6551e-12    |               |
|     966      |   2.000   | 1932.000 / 9480.0  |     4      |    9.9994e-12    |               |
|     967      |   2.000   | 1934.000 / 9480.0  |     4      |    8.3734e-12    |               |
|     968      |   2.000   | 1936.000 / 9480.0  |     4      |    9.6655e-12    |               |
|     969      |   2.000   | 1938.000 / 9480.0  |     4      |    8.1110e-12    |               |
|     970      |   2.000   | 1940.000 / 9480.0  |     4      |    9.3167e-12    |               |
|     971      |   2.000   | 1942.000 / 9480.0  |     4      |    7.8359e-12    |               |
|     972      |   2.000   | 1944.000 / 9480.0  |     4      |    8.9845e-12    |               |
|     973      |   2.000   | 1946.000 / 9480.0  |     4      |    7.5620e-12    |               |
|     974      |   2.000   | 1948.000 / 9480.0  |     4      |    8.6503e-12    |               |
|     975      |   2.000   | 1950.000 / 9480.0  |     4      |    7.3132e-12    |               |
|     976      |   2.000   | 1952.000 / 9480.0  |     4      |    8.3314e-12    |               |
|     977      |   2.000   | 1954.000 / 9480.0  |     4      |    7.0824e-12    |               |
|     978      |   2.000   | 1956.000 / 9480.0  |     4      |    8.0321e-12    |               |
|     979      |   2.000   | 1958.000 / 9480.0  |     4      |    6.8573e-12    |               |
|     980      |   2.000   | 1960.000 / 9480.0  |     4      |    7.7492e-12    |               |
|     981      |   2.000   | 1962.000 / 9480.0  |     4      |    6.6238e-12    |               |
|     982      |   2.000   | 1964.000 / 9480.0  |     4      |    7.4695e-12    |               |
|     983      |   2.000   | 1966.000 / 9480.0  |     4      |    6.4001e-12    |               |
|     984      |   2.000   | 1968.000 / 9480.0  |     4      |    7.1915e-12    |               |
|     985      |   2.000   | 1970.000 / 9480.0  |     4      |    6.1725e-12    |               |
|     986      |   2.000   | 1972.000 / 9480.0  |     4      |    6.9206e-12    |               |
|     987      |   2.000   | 1974.000 / 9480.0  |     4      |    5.9611e-12    |               |
|     988      |   2.000   | 1976.000 / 9480.0  |     4      |    6.6654e-12    |               |
|     989      |   2.000   | 1978.000 / 9480.0  |     4      |    5.7722e-12    |               |
|     990      |   2.000   | 1980.000 / 9480.0  |     4      |    6.4289e-12    |               |
|     991      |   2.000   | 1982.000 / 9480.0  |     4      |    5.5803e-12    |               |
|     992      |   2.000   | 1984.000 / 9480.0  |     4      |    6.2020e-12    |               |
|     993      |   2.000   | 1986.000 / 9480.0  |     4      |    5.3906e-12    |               |
|     994      |   2.000   | 1988.000 / 9480.0  |     4      |    5.9774e-12    |               |
|     995      |   2.000   | 1990.000 / 9480.0  |     4      |    5.2008e-12    |               |
|     996      |   2.000   | 1992.000 / 9480.0  |     4      |    5.7533e-12    |               |
|     997      |   2.000   | 1994.000 / 9480.0  |     4      |    5.0011e-12    |               |
|     998      |   2.000   | 1996.000 / 9480.0  |     4      |    5.5341e-12    |               |
|     999      |   2.000   | 1998.000 / 9480.0  |     4      |    4.8231e-12    |               |
|     1000     |   2.000   | 2000.000 / 9480.0  |     4      |    5.3293e-12    |               |
|     1001     |   2.000   | 2002.000 / 9480.0  |     4      |    4.6855e-12    |               |
|     1002     |   2.000   | 2004.000 / 9480.0  |     4      |    5.1459e-12    |               |
|     1003     |   2.000   | 2006.000 / 9480.0  |     4      |    4.5298e-12    |               |
|     1004     |   2.000   | 2008.000 / 9480.0  |     4      |    4.9731e-12    |               |
|     1005     |   2.000   | 2010.000 / 9480.0  |     4      |    4.3612e-12    |               |
|     1006     |   2.000   | 2012.000 / 9480.0  |     4      |    4.7876e-12    |               |
|     1007     |   2.000   | 2014.000 / 9480.0  |     4      |    4.1938e-12    |               |
|     1008     |   2.000   | 2016.000 / 9480.0  |     4      |    4.6072e-12    |               |
|     1009     |   2.000   | 2018.000 / 9480.0  |     4      |    4.0329e-12    |               |
|     1010     |   2.000   | 2020.000 / 9480.0  |     4      |    4.4319e-12    |               |
|     1011     |   2.000   | 2022.000 / 9480.0  |     4      |    3.8869e-12    |               |
|     1012     |   2.000   | 2024.000 / 9480.0  |     4      |    4.2503e-12    |               |
|     1013     |   2.000   | 2026.000 / 9480.0  |     4      |    3.7234e-12    |               |
|     1014     |   2.000   | 2028.000 / 9480.0  |     4      |    4.0782e-12    |               |
|     1015     |   2.000   | 2030.000 / 9480.0  |     4      |    3.5997e-12    |               |
|     1016     |   2.000   | 2032.000 / 9480.0  |     4      |    3.9374e-12    |               |
|     1017     |   2.000   | 2034.000 / 9480.0  |     4      |    3.4597e-12    |               |
|     1018     |   2.000   | 2036.000 / 9480.0  |     4      |    3.7937e-12    |               |
|     1019     |   2.000   | 2038.000 / 9480.0  |     4      |    3.3881e-12    |               |
|     1020     |   2.000   | 2040.000 / 9480.0  |     4      |    3.6465e-12    |               |
|     1021     |   2.000   | 2042.000 / 9480.0  |     4      |    3.2771e-12    |               |
|     1022     |   2.000   | 2044.000 / 9480.0  |     4      |    3.5658e-12    |               |
|     1023     |   2.000   | 2046.000 / 9480.0  |     4      |    3.1722e-12    |               |
|     1024     |   2.000   | 2048.000 / 9480.0  |     4      |    3.4585e-12    |               |
|     1025     |   2.000   | 2050.000 / 9480.0  |     4      |    3.0699e-12    |               |
|     1026     |   2.000   | 2052.000 / 9480.0  |     4      |    3.3657e-12    |               |
|     1027     |   2.000   | 2054.000 / 9480.0  |     4      |    2.9911e-12    |               |
|     1028     |   2.000   | 2056.000 / 9480.0  |     4      |    3.2579e-12    |               |
|     1029     |   2.000   | 2058.000 / 9480.0  |     4      |    2.8948e-12    |               |
|     1030     |   2.000   | 2060.000 / 9480.0  |     4      |    3.1505e-12    |               |
|     1031     |   2.000   | 2062.000 / 9480.0  |     4      |    2.8194e-12    |               |
|     1032     |   2.000   | 2064.000 / 9480.0  |     4      |    3.0776e-12    |               |
|     1033     |   2.000   | 2066.000 / 9480.0  |     4      |    2.7038e-12    |               |
|     1034     |   2.000   | 2068.000 / 9480.0  |     4      |    2.9813e-12    |               |
|     1035     |   2.000   | 2070.000 / 9480.0  |     4      |    2.6490e-12    |               |
|     1036     |   2.000   | 2072.000 / 9480.0  |     4      |    2.9006e-12    |               |
|     1037     |   2.000   | 2074.000 / 9480.0  |     4      |    2.7041e-12    |               |
|     1038     |   2.000   | 2076.000 / 9480.0  |     4      |    2.8667e-12    |               |
|     1039     |   2.000   | 2078.000 / 9480.0  |     4      |    2.6714e-12    |               |
|     1040     |   2.000   | 2080.000 / 9480.0  |     4      |    2.9668e-12    |               |
|     1041     |   2.000   | 2082.000 / 9480.0  |     4      |    3.0606e-12    |               |
|     1042     |   2.000   | 2084.000 / 9480.0  |     4      |    3.0798e-12    |               |
|     1043     |   2.000   | 2086.000 / 9480.0  |     4      |    3.3543e-12    |               |
|     1044     |   2.000   | 2088.000 / 9480.0  |     4      |    3.3713e-12    |               |
|     1045     |   2.000   | 2090.000 / 9480.0  |     4      |    3.3954e-12    |               |
|     1046     |   2.000   | 2092.000 / 9480.0  |     4      |    3.7333e-12    |               |
|     1047     |   2.000   | 2094.000 / 9480.0  |     4      |    3.4158e-12    |               |
|     1048     |   2.000   | 2096.000 / 9480.0  |     4      |    3.7836e-12    |               |
|     1049     |   2.000   | 2098.000 / 9480.0  |     4      |    3.5779e-12    |               |
|     1050     |   2.000   | 2100.000 / 9480.0  |     4      |    4.1454e-12    |               |
|     1051     |   2.000   | 2102.000 / 9480.0  |     4      |    3.4666e-12    |               |
|     1052     |   2.000   | 2104.000 / 9480.0  |     4      |    4.0446e-12    |               |
|     1053     |   2.000   | 2106.000 / 9480.0  |     4      |    3.3723e-12    |               |
|     1054     |   2.000   | 2108.000 / 9480.0  |     4      |    3.8894e-12    |               |
|     1055     |   2.000   | 2110.000 / 9480.0  |     4      |    3.3032e-12    |               |
|     1056     |   2.000   | 2112.000 / 9480.0  |     4      |    3.8332e-12    |               |
|     1057     |   2.000   | 2114.000 / 9480.0  |     4      |    3.1707e-12    |               |
|     1058     |   2.000   | 2116.000 / 9480.0  |     4      |    3.7421e-12    |               |
|     1059     |   2.000   | 2118.000 / 9480.0  |     4      |    3.0822e-12    |               |
|     1060     |   2.000   | 2120.000 / 9480.0  |     4      |    3.6299e-12    |               |
|     1061     |   2.000   | 2122.000 / 9480.0  |     4      |    3.1183e-12    |               |
|     1062     |   2.000   | 2124.000 / 9480.0  |     4      |    3.7101e-12    |               |
|     1063     |   2.000   | 2126.000 / 9480.0  |     4      |    3.0276e-12    |               |
|     1064     |   2.000   | 2128.000 / 9480.0  |     4      |    3.6812e-12    |               |
|     1065     |   2.000   | 2130.000 / 9480.0  |     4      |    3.1504e-12    |               |
|     1066     |   2.000   | 2132.000 / 9480.0  |     4      |    3.5266e-12    |               |
|     1067     |   2.000   | 2134.000 / 9480.0  |     4      |    3.2676e-12    |               |
|     1068     |   2.000   | 2136.000 / 9480.0  |     4      |    3.8554e-12    |               |
|     1069     |   2.000   | 2138.000 / 9480.0  |     4      |    3.2743e-12    |               |
|     1070     |   2.000   | 2140.000 / 9480.0  |     4      |    3.8700e-12    |               |
|     1071     |   2.000   | 2142.000 / 9480.0  |     4      |    3.5325e-12    |               |
|     1072     |   2.000   | 2144.000 / 9480.0  |     4      |    3.8468e-12    |               |
|     1073     |   2.000   | 2146.000 / 9480.0  |     4      |    3.9337e-12    |               |
|     1074     |   2.000   | 2148.000 / 9480.0  |     4      |    4.0154e-12    |               |
|     1075     |   2.000   | 2150.000 / 9480.0  |     4      |    3.5966e-12    |               |
|     1076     |   2.000   | 2152.000 / 9480.0  |     4      |    3.8969e-12    |               |
|     1077     |   2.000   | 2154.000 / 9480.0  |     4      |    4.0759e-12    |               |
|     1078     |   2.000   | 2156.000 / 9480.0  |     4      |    4.2317e-12    |               |
|     1079     |   2.000   | 2158.000 / 9480.0  |     4      |    4.4301e-12    |               |
|     1080     |   2.000   | 2160.000 / 9480.0  |     4      |    4.5170e-12    |               |
|     1081     |   2.000   | 2162.000 / 9480.0  |     4      |    4.4976e-12    |               |
|     1082     |   2.000   | 2164.000 / 9480.0  |     4      |    4.8007e-12    |               |
|     1083     |   2.000   | 2166.000 / 9480.0  |     4      |    5.0060e-12    |               |
|     1084     |   2.000   | 2168.000 / 9480.0  |     4      |    5.1746e-12    |               |
|     1085     |   2.000   | 2170.000 / 9480.0  |     4      |    5.4808e-12    |               |
|     1086     |   2.000   | 2172.000 / 9480.0  |     4      |    5.6516e-12    |               |
|     1087     |   2.000   | 2174.000 / 9480.0  |     4      |    5.9087e-12    |               |
|     1088     |   2.000   | 2176.000 / 9480.0  |     4      |    6.1708e-12    |               |
|     1089     |   2.000   | 2178.000 / 9480.0  |     4      |    6.4327e-12    |               |
|     1090     |   2.000   | 2180.000 / 9480.0  |     4      |    6.7561e-12    |               |
|     1091     |   2.000   | 2182.000 / 9480.0  |     4      |    7.0044e-12    |               |
|     1092     |   2.000   | 2184.000 / 9480.0  |     4      |    7.4011e-12    |               |
|     1093     |   2.000   | 2186.000 / 9480.0  |     4      |    7.6014e-12    |               |
